repoName,lastCommitter
EBSCOIS/platform.shared.ebsco-analytics.KPOW,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.cut,Aliaksandr Krukouski
EBSCOIS/platform.shared.ebsco-analytics.michst,Aliaksandr Krukouski
EBSCOIS/platform.shared.ebsco-analytics.TTU,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.GGG,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.tmartin,Aliaksandr Krukouski
EBSCOIS/platform.shared.ebsco-analytics.YIVO,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.villan,Aliaksandr Krukouski
EBSCOIS/platform.shared.ebsco-analytics.uzar,Anton Ihnatovich
EBSCOIS/platform.shared.ebsco-analytics.III,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.JJJ,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.LMNOP,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.CWMM,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.CWM,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.IVY,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.GRIFF,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.IPMMM,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ASF,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.XIT,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.SQRL,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.durb,Aliaksandr Krukouski
EBSCOIS/platform.shared.ebsco-analytics.CHA,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.BAL,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.QRS,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.lu,Anton Ihnatovich
EBSCOIS/platform.shared.ebsco-analytics.caltech,Anton Ihnatovich
EBSCOIS/platform.shared.ebsco-analytics.LMNO,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.snhu,Anton Ihnatovich
EBSCOIS/platform.shared.ebsco-analytics.stu,Aliaksandr Krukouski
EBSCOIS/platform.shared.ebsco-analytics.dags,Evgeny Nikolin
EBSCOIS/platform.shared.ebsco-analytics.LSE,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.HHH,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.456,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.FRII,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.BARRR,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.BARRRR,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.IVYY,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.GRIFFYY,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.SPRQ,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ZEL,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.bf,Anton Ihnatovich
EBSCOIS/platform.shared.ebsco-analytics.cup,Aliona Zahnetava
EBSCOIS/platform.shared.ebsco-analytics.skdm,Aliaksandr Krukouski
EBSCOIS/platform.shared.ebsco-analytics.washjef,Aliaksandr Krukouski
EBSCOIS/platform.shared.ebsco-analytics.FOOOO,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.SPRQL,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.CWMMMM,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.SUN,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.tpwd,valdoshkin
EBSCOIS/platform.shared.ebsco-analytics.udec,Anton Ihnatovich
EBSCOIS/platform.shared.ebsco-analytics.ZZZ,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.YUM,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.AJHS,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.cloudformation,Anton Ihnatovich
EBSCOIS/platform.shared.ebsco-analytics.eks,KisialiouAliaksei
EBSCOIS/platform.shared.ebsco-analytics.ksu,kzuenok
EBSCOIS/platform.shared.ebsco-analytics.indiana,Anton Ihnatovich
EBSCOIS/platform.shared.ebsco-analytics.panoramashared,Evgeny Nikolin
EBSCOIS/platform.shared.ebsco-analytics.demo,Anton Ihnatovich
EBSCOIS/platform.shared.ebsco-analytics.SPR,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.DEF,kevinpowell1
EBSCOIS/platform.shared.ebsco-analytics.flg,Aliaksandr Krukouski
EBSCOIS/platform.shared.ebsco-analytics.ABY,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.SQRLY,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.svu,Aliaksandr Krukouski
EBSCOIS/platform.shared.ebsco-analytics.cornell,Aliaksandr Krukouski
EBSCOIS/platform.shared.ebsco-analytics.FOOO,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.snowflake,Aliaksandr Krukouski
EBSCOIS/platform.shared.ebsco-analytics.du.sandbox.yz,Yury Ziamtsou
EBSCOIS/platform.shared.ebsco-analytics.cut2,Anton Ihnatovich
EBSCOIS/platform.shared.ebsco-analytics.ls039,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.docker-sdc,Aliaksei_Kisialiou
EBSCOIS/platform.shared.ebsco-analytics.ls001,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls015,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls031,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls035,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls037,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.test-utils,Evgeny Nikolin
EBSCOIS/platform.shared.ebsco-analytics.sfx-pipeline,Aliona Zahnetava
EBSCOIS/platform.shared.ebsco-analytics.ls000,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.alma-counter-pipeline,Anton Ihnatovich
EBSCOIS/platform.shared.ebsco-analytics.people_counter-pipeline,Anton Ihnatovich
EBSCOIS/platform.shared.ebsco-analytics.ls018,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls033,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls025,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls027,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls036,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls034,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.s3-cleaner,Iryna_Spirydonava
EBSCOIS/platform.shared.ebsco-analytics.openathensapi-pipeline-old,Aliona Zahnetava
EBSCOIS/platform.shared.ebsco-analytics.repository-tagger,Aliaksei_Kisialiou
EBSCOIS/platform.shared.ebsco-analytics.ls008,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls030,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls026,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.streamsetsdc.commonlib,Aliaksei-Kisialiou
EBSCOIS/platform.shared.ebsco-analytics.cut3,kzuenok
EBSCOIS/platform.shared.ebsco-analytics.eks.du,Aliaksei Kisialiou
EBSCOIS/platform.shared.ebsco-analytics.eds-pipeline,Aliona Zahnetava
EBSCOIS/platform.shared.ebsco-analytics.ls016,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.alma-service-stub,Iryna_Spirydonava
EBSCOIS/platform.shared.ebsco-analytics.openathensapi-pipeline,Aliona Zahnetava
EBSCOIS/platform.shared.ebsco-analytics.ls002,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls011,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls004,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.sfx-pipline,Dzmitry Khamenka
EBSCOIS/platform.shared.ebsco-analytics.counter-uc-pipeline,Aliaksandr Krukouski
EBSCOIS/platform.shared.ebsco-analytics.sierra-pipeline,Aliaksandr Krukouski
EBSCOIS/platform.shared.ebsco-analytics.holdingsiq-pipeline,Anton Ihnatovich
EBSCOIS/platform.shared.ebsco-analytics.ls020,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls038,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.synthetic-data-generator,KisialiouAliaksei
EBSCOIS/platform.shared.ebsco-analytics.folio-pipeline,Aliaksandr Krukouski
EBSCOIS/platform.shared.ebsco-analytics.ls023,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.jenkinsfiles-for-tests,valdoshkin
EBSCOIS/platform.shared.ebsco-analytics.ls012,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls013,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.springshare-pipeline,Aliona Zahnetava
EBSCOIS/platform.shared.ebsco-analytics.ls009,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls010,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls019,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls029,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.alma-pipeline,Aliona Zahnetava
EBSCOIS/platform.shared.ebsco-analytics.ezproxy-pipeline,Anton Ihnatovich
EBSCOIS/platform.shared.ebsco-analytics.ls024,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls022,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls006,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls014,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls017,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls032,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls040,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.testing-framework,mpapkovich-ebsco
EBSCOIS/platform.shared.ebsco-analytics.ls003,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls007,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.ls021,svc-github-panorollo
EBSCOIS/platform.shared.ebsco-analytics.banner-pipeline,alenaivanova
EBSCOIS/platform.shared.ebsco-analytics.uc-counter-pipeline,alenaivanova
EBSCOIS/platform.shared.ebsco-analytics.thirdiron-pipeline,Aliona Zahnetava
EBSCOIS/platform.shared.ebsco-analytics.folio.edge-ea-data-export,Mathew Reno
EBSCOIS/platform.shared.ebsco-analytics.openathensapi-data-exporter-service,Aliaksei_Kisialiou
EBSCOIS/platform.shared.ebsco-analytics.sierra-data-exporter-service,Aliaksei_Kisialiou
EBSCOIS/platform.shared.ebsco-analytics.folio-data-exporter-service,Aliaksei_Kisialiou
EBSCOIS/platform.shared.ebsco-analytics.springshare-data-exporter-service,valdoshkin
EBSCOIS/platform.shared.ebsco-analytics.counter-uc-data-exporter-service,Vladimir Aldoshkin
EBSCOIS/platform.shared.ebsco-analytics.alma-data-enrichment-service,Aliaksei_Kisialiou
EBSCOIS/platform.shared.ebsco-analytics.holdingsiq-data-exporter-service,valdoshkin
EBSCOIS/platform.shared.ebsco-analytics.alma-data-exporter-service,Aliaksei Kisialiou
